LCIA category,Flow,Flow property,Flow unit,Location,Factor
f8df2095-d8d1-3a44-b091-51588127c597,003697f1-54e9-409e-8179-23a95e99e4d7,Mass,kg,,1.0
f8df2095-d8d1-3a44-b091-51588127c597,0102958d-e9b8-30b2-b1b6-3b10ddba458f,Mass,kg,,0.505
f8df2095-d8d1-3a44-b091-51588127c597,025fcb20-0591-4bae-80fc-7c34e9af2e7b,Mass,kg,,0.834
f8df2095-d8d1-3a44-b091-51588127c597,0315d855-dff2-44af-bb37-1b855df53d69,Mass,kg,,1.44
f8df2095-d8d1-3a44-b091-51588127c597,059e6a26-7035-4621-a360-c71c5778eec8,Mass,kg,,0.809
f8df2095-d8d1-3a44-b091-51588127c597,06911561-7da9-487c-adda-85e268d672af,Mass,kg,,0.684
f8df2095-d8d1-3a44-b091-51588127c597,06f0a67c-ec68-435d-8c32-0decd79a4a1a,Mass,kg,,0.927
f8df2095-d8d1-3a44-b091-51588127c597,0758fd39-21c0-3f92-bcbc-2f7ff3fc3a25,Mass,kg,,0.752
f8df2095-d8d1-3a44-b091-51588127c597,0795345f-c7ae-410c-ad25-1845784c75f5,Mass,kg,,0.0101
f8df2095-d8d1-3a44-b091-51588127c597,08a91e70-3ddc-11dd-9252-0050c2490048,Mass,kg,,0.0456
f8df2095-d8d1-3a44-b091-51588127c597,08a91e70-3ddc-11dd-9734-0050c2490048,Mass,kg,,0.765
f8df2095-d8d1-3a44-b091-51588127c597,099b36ab-4c03-4587-87f4-2f81e337afb8,Mass,kg,,0.0456
f8df2095-d8d1-3a44-b091-51588127c597,09adf1e6-9c65-4d35-80ae-b22bc6d23660,Mass,kg,,1.06
f8df2095-d8d1-3a44-b091-51588127c597,09c332a9-1186-36ac-aa4e-3da3e002f29d,Mass,kg,,0.454
f8df2095-d8d1-3a44-b091-51588127c597,0a07a739-e6cf-4716-87a8-1078afbd3f0f,Mass,kg,,0.868
f8df2095-d8d1-3a44-b091-51588127c597,0aa4a379-3db3-4aad-950c-1bc4a58c6519,Mass,kg,,1.82
f8df2095-d8d1-3a44-b091-51588127c597,0b0d8098-ecbf-4020-afd6-4bcf9db686ce,Mass,kg,,1.08
f8df2095-d8d1-3a44-b091-51588127c597,0b7e10a8-6ca0-4a50-a39b-f2a019cb3610,Mass,kg,,1.0
f8df2095-d8d1-3a44-b091-51588127c597,0b9698ec-8b52-4986-8f9f-ad30915aa00c,Mass,kg,,0.667
f8df2095-d8d1-3a44-b091-51588127c597,0c143a06-6761-3c47-8006-ffcad7b58a10,Mass,kg,,0.0811
f8df2095-d8d1-3a44-b091-51588127c597,0c209634-80bb-4909-8442-3189b7cb01d7,Mass,kg,,1.84
f8df2095-d8d1-3a44-b091-51588127c597,0d25326e-2335-4a06-8ecb-d161f02adccf,Mass,kg,,2.16
f8df2095-d8d1-3a44-b091-51588127c597,0d3ccb17-b3fe-4c08-b7cb-458ed3ababf1,Mass,kg,,0.674
f8df2095-d8d1-3a44-b091-51588127c597,0d4989fd-00e3-4522-905f-2ab6a1bd5677,Mass,kg,,0.0997
f8df2095-d8d1-3a44-b091-51588127c597,0e7c1a7b-cd98-4f8d-a619-a687d3e2cb48,Mass,kg,,0.549
f8df2095-d8d1-3a44-b091-51588127c597,0ea9b371-2c9a-3847-a7e1-160f4c44fee4,Mass,kg,,0.385
f8df2095-d8d1-3a44-b091-51588127c597,0ebdb68a-f50d-4b0c-ad4b-3a1104d8b454,Mass,kg,,0.236
f8df2095-d8d1-3a44-b091-51588127c597,0f70e720-127e-44dc-bb85-438158235ab6,Mass,kg,,0.00845
f8df2095-d8d1-3a44-b091-51588127c597,0f907765-2a94-48a8-8978-55a2757d3e24,Mass,kg,,0.253
f8df2095-d8d1-3a44-b091-51588127c597,103afa13-5b3a-30c3-88d3-8594ded2d79d,Mass,kg,,0.662
f8df2095-d8d1-3a44-b091-51588127c597,10571d92-ea97-4ac6-adb6-b25893a631cb,Mass,kg,,1.87
f8df2095-d8d1-3a44-b091-51588127c597,108e9780-646b-448d-903b-609b3f65950b,Mass,kg,,0.454
f8df2095-d8d1-3a44-b091-51588127c597,10d26189-a688-4859-8aa9-525e058a07f0,Mass,kg,,-0.155
f8df2095-d8d1-3a44-b091-51588127c597,1119e45c-6707-3b66-af94-f60114491671,Mass,kg,,1.07
f8df2095-d8d1-3a44-b091-51588127c597,1258b87f-6a94-4c0f-a51a-cef98a3bf534,Mass,kg,,0.877
f8df2095-d8d1-3a44-b091-51588127c597,1275ddeb-f87b-3f52-94a4-1eb8e2ac6c06,Mass,kg,,0.0811
f8df2095-d8d1-3a44-b091-51588127c597,12aeeb5b-15e4-49b9-aa5e-572d607e9a6e,Mass,kg,,0.649
f8df2095-d8d1-3a44-b091-51588127c597,137f2ebc-8f8b-41fc-9ff6-d32f42565d56,Mass,kg,,0.845
f8df2095-d8d1-3a44-b091-51588127c597,13fb54aa-a54a-48de-b2ec-b9165dea111d,Mass,kg,,1.69
f8df2095-d8d1-3a44-b091-51588127c597,140f5c54-7965-420d-a5c1-0ed0f0671a55,Mass,kg,,0.649
f8df2095-d8d1-3a44-b091-51588127c597,15a335be-9a71-431f-a0b0-56585fbafe5e,Mass,kg,,0.125
f8df2095-d8d1-3a44-b091-51588127c597,16210d98-77fb-31c0-88b5-1659c4e6434c,Mass,kg,,0.765
f8df2095-d8d1-3a44-b091-51588127c597,16521d00-4b6f-464f-b5dd-8da4a27b15ca,Mass,kg,,0.0811
f8df2095-d8d1-3a44-b091-51588127c597,165aaeac-93d1-4afd-adf2-e3d6c0eaf629,Mass,kg,,0.49
f8df2095-d8d1-3a44-b091-51588127c597,170567c3-eba5-4979-b1ed-69e081881c16,Mass,kg,,1.71
f8df2095-d8d1-3a44-b091-51588127c597,173b468a-3c3e-3981-a083-2f49e33787f9,Mass,kg,,0.699
f8df2095-d8d1-3a44-b091-51588127c597,175baa64-d985-4c5e-84ef-67cc3a1cf952,Mass,kg,,1.0
