LCIA category,Flow,Flow property,Flow unit,Location,Factor
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,00012c0a-9bff-4787-a7eb-56c3d2f43692,Mass,g,,0.12
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,0015315d-a2b8-4b72-8e60-0d34a72e6de8,Mass,g,,1.42
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,007d4ecd-0831-4984-b5e2-814d129c932b,Mass,g,,816.0
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,014bd81b-88c7-4a81-b872-201dcbfb8bbf,Mass,g,,0.189
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,01a0ee45-df98-4286-a8ee-fe5660c3177a,Mass,g,,5.79
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,01b798f0-b8bb-41eb-9e5b-fb6bb096ebeb,Mass,g,,0.609
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,02381700-f27e-4ffa-b58f-e7309ad7f9e7,Mass,g,,0.21
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,0315d855-dff2-44af-bb37-1b855df53d69,Mass,g,,0.332
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,03758df7-503a-400e-bc7b-ec05825761a5,Mass,g,,5.33
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,03b279a7-4626-4703-a451-d0650599dbd9,Mass,g,,167.0
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,03dd3813-732b-39e4-87b9-c8565fb50e43,Mass,g,,1.81E9
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,04e44140-9bcd-30c2-9d1e-0fbfc7d9d1e8,Mass,g,,8.43
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,04fe7cbf-f98b-406b-8cfb-5626c5a458e3,Mass,g,,0.12
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,0545c382-2312-43b6-9ec3-63dbb1438565,Mass,g,,3.61
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,05f078ed-c834-45e3-aea0-05609ca93b4c,Mass,g,,0.12
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,06278bba-5079-4c7d-a7a2-b722efb6b98a,Mass,g,,1.32E-4
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,06f0a67c-ec68-435d-8c32-0decd79a4a1a,Mass,g,,0.00353
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,074a80c1-dc5f-4808-b46e-0e22be2246bc,Mass,g,,2.22
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,07f3e3bb-d066-44bb-ac90-58489563b2b0,Mass,g,,67.3
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,082903e4-45d8-4078-94cb-736b15279277,Mass,g,,1.81E9
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,08a91e70-3ddc-11dd-91e3-0050c2490048,Mass,g,,816.0
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,08a91e70-3ddc-11dd-9f7b-0050c2490048,Mass,g,,167.0
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,08ba6a82-89d5-4cc6-bc09-b2aa18f9eda2,Mass,g,,816.0
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,09eca9fb-65fe-4d44-956f-c3143fee2192,Mass,g,,0.368
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,0a7b2a91-5d35-400b-9a9e-30e195abfe73,Mass,g,,0.368
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,0a83356a-eabe-4fb2-9dfe-b49d5e6ee8ee,Mass,g,,1.0
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,0b4844cf-a6de-306f-ac96-3b2fb9bda53f,Mass,g,,6.0
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,0b69f2c5-4045-4603-abe9-ef7b6e0ece8f,Mass,g,,6.0
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,0bb66845-6ccf-4648-b565-2e704989d7c0,Mass,g,,30.8
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,0bffd247-3b0b-483a-b5b8-71a9f118cdb2,Mass,g,,8.71
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,0c486c5f-3237-4d2f-9b13-4593ae1cb2c9,Mass,g,,0.00242
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,0cc4fa9c-ed07-4249-988d-6b2fe84b7dff,Mass,g,,816.0
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,0d1296aa-d946-3e5b-94a6-8dabb9a28dbe,Mass,g,,3.61
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,0de292c5-7609-443c-a692-851236a62f81,Mass,g,,4.18
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,0e7c1a7b-cd98-4f8d-a619-a687d3e2cb48,Mass,g,,0.0586
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,0e9cc471-b760-35dc-9024-afc51202287e,Mass,g,,25.0
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,0f70e720-127e-44dc-bb85-438158235ab6,Mass,g,,3.52
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,0f9d7117-0e1d-3ac1-9135-8245fd68fafe,Mass,g,,1.47
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,0ff15165-d761-48c9-9814-2d1dcdd56857,Mass,g,,2.56
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,10a013cc-0567-4358-b2bc-674d40500cee,Mass,g,,11.9
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,11dabc3f-6564-4f1b-bba5-a1718c7e5a6d,Mass,g,,0.0734
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,11dc474a-2aae-4b75-a327-2defc78127c5,Mass,g,,1.32E-4
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,120c322e-3a2c-3cb3-a7ec-2567f87999f7,Mass,g,,0.479
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,1258b87f-6a94-4c0f-a51a-cef98a3bf534,Mass,g,,0.00302
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,127ff74d-018b-43b9-8a4e-fb5577d5ee5a,Mass,g,,1.47
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,12c12a5e-847f-4a94-be3b-21f14ff429fe,Mass,g,,5.79
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,13187d4c-f293-41fb-94f1-4007176122a7,Mass,g,,0.609
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,133b38fd-4034-4495-bba8-0d2bd7394dcc,Mass,g,,25.0
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,1461c951-70f8-31b0-a8f5-fbef739bef45,Mass,g,,1.32E-4
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,1469e83d-2ac9-4e64-84e0-cfe37c85fd9d,Mass,g,,0.9
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,15480380-fe67-4936-bac4-6d18f973b7e3,Mass,g,,0.0734
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,15e0a6bf-d529-4fc7-b55c-f6cdfc79537f,Mass,g,,120000.0
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,16395c4f-6c10-41ff-97a0-965fc297a46c,Mass,g,,15.9
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,166ef726-9aa4-4c5d-8e6e-ad18a1f58d12,Mass,g,,11.9
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,1678a1e6-ba2e-44a2-a9a9-502be71d87d7,Mass,g,,6.0
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,16d90661-cdaf-3f0d-80f1-2e94d9c376ca,Mass,g,,1.81
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,16de7404-a5f8-35e0-9b2b-7368258f99ce,Mass,g,,64.3
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,1790c55a-e681-440a-accb-b4fa4c5feba4,Mass,g,,120000.0
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,17955b10-4c04-4fff-91e7-cf89ef1a7cca,Mass,g,,0.0734
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,18ea247b-edc2-43fe-89bd-cedd04102bcc,Mass,g,,3.52
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,19108dfd-9b70-4fca-bac5-d523f8b5d3c0,Mass,g,,0.848
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,19e97bd6-d0ae-4208-bd77-d58e5d46d827,Mass,g,,27.8
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,1a002089-bf1f-497c-a4d8-336542f7b38d,Mass,g,,2.56
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,1a846686-caf6-31f9-8526-f007fe133ba2,Mass,g,,0.327
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,1b6a35b8-f6c8-404d-9c0e-e09b8fdb2d9e,Mass,g,,0.368
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,1b8d1b16-8538-11e0-9d78-0800200c9a66,Mass,g,,25.0
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,1b8d1b17-8538-11e0-9d78-0800200c9a66,Mass,g,,70.1
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,1bb6a502-3ff9-4a79-835c-5588b855f1f5,Mass,g,,1.0
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,1bec7eb9-dc55-30bd-ae0d-76c6a40755a0,Mass,g,,170.0
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,1c5a7322-9261-4d59-a692-adde6c12de92,Mass,g,,83.4
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,1dd831e7-4218-3e17-89ba-aceda86cb6a6,Mass,g,,1.81E9
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,1e744a20-5f96-448d-87c8-5f7e08bb91a0,Mass,g,,70.1
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,1ed87d8c-afc2-47f1-af5a-df78ed6bad83,Mass,g,,3.0E-4
c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,1f607ae2-b42d-4411-90b8-e9bbac66a554,Mass,g,,816.0
